"Proprietario","Imovel","Qtde Imoveis","Distrito"
" large couch! near 🛫","""Rare 3 BR","18","🌇"""
"lga","""1 king BR apartment","9","ubs"""
"balcony","""2BR-3 min to M&R","142","skylight"""
" queens","""Jfk5min ","24","shared apartment selfchk"""
"Self Check-In","""Asti","66","quiet 🏡 area"""
"patio laundy","""Welcome to a  one room  ","5","doorman"""
" clean","""large","2","convenient"""
"J","""3Bdr Artist Apt. (L","216","Z trains)"""
"J","""1Bdr Artist Apt. (L","34","Z trains) Private Backyard"""
"J","""Huge room 25 min to manhattan. L","12","Z train."""
