"Imovel","Distrito","Tipo","Avaliacoes"
"Stay in the heart of the East side!","Manhattan","Private room","87"
"NYC suite private Bath+Balcony 8 min Times Square","Queens","Private room","489"
"Cute and Cozy Private Room","Bronx","Private room","88"
"COZY ROOM ON THE HEART OF THE CLASSY UPPER WEST!","Manhattan","Private room","18"
"GRAND OPENING NEW 2 bedroom in Times Square area","Manhattan","Entire home/apt","66"
"CLEAN STUDIO APARTMENT IN THE HEART OF BROOKLYN","Brooklyn","Entire home/apt","34"
"1-Bedroom with 2 Queen Bed by Lotus Blu Inn","Queens","Private room","212"
"1-Bedroom with 1 King Bed by Lotus Blu Inn","Queens","Private room","331"
"Studio apartment in prime Bushwick (Cornelia)","Brooklyn","Entire home/apt","23"
"Harlem Elegance","Manhattan","Entire home/apt","14"
"Room 808","Manhattan","Private room","22"
"Luxury 3 bedroom home in the ❤️ of Williamsburg","Brooklyn","Entire home/apt","11"
"Lovely Williamsburg apartment with amazing terrace","Brooklyn","Entire home/apt","2"
"Charming Midtown Manhattan Bedroom","Manhattan","Private room","1"
"Cozy room in perfect Williamsburg location","Brooklyn","Private room","10"
"Quiet and incredibly clean 1 bed","Brooklyn","Entire home/apt","5"
"Epic Location! Sanitized Spacious 5BR Townhouse!","Manhattan","Entire home/apt","6"
"High ceiling Guesthouse with Rooftop","Brooklyn","Shared room","2"
"HK 4-Beautiful bedroom with private bathroom in HK","Manhattan","Private room","7"
"Charming One Bedroom Apartment in Historic BedStuy","Brooklyn","Entire home/apt","2"
